Interval,Accuracy
1,50.0
2,0.0
3,40.0
4,50.0
5,40.0
6,20.0
7,25.0
8,60.0
9,60.0
10,80.0
11,75.0
12,0.0
13,40.0
14,20.0
15,20.0
16,50.0
17,40.0
18,50.0
19,0.0
20,25.0
21,20.0
22,20.0
23,60.0
24,40.0
25,60.0
26,0.0
27,80.0
